TrackID_A,TrackID_B,Label
TRPYNNL12903CAF506,TRFYRVZ128F92EF998,1
TRPYNNL12903CAF506,TRXAJXI128F4267A92,1
TRPYNNL12903CAF506,TRMONTS128F427FF78,1
TRPYNNL12903CAF506,TRGSXCN128F9320D4B,1
TRFYRVZ128F92EF998,TRXAJXI128F4267A92,1
TRFYRVZ128F92EF998,TRMONTS128F427FF78,1
TRFYRVZ128F92EF998,TRGSXCN128F9320D4B,1
TRXAJXI128F4267A92,TRMONTS128F427FF78,1
TRXAJXI128F4267A92,TRGSXCN128F9320D4B,1
TRMONTS128F427FF78,TRGSXCN128F9320D4B,1
TRTRNUX128F93297EF,TRKQBVB128C7196AED,1
TRBKHJE128F931F762,TRNOHZD128C719668F,1
TRBKHJE128F931F762,TRTMZVE128F92DF6FB,1
TRBKHJE128F931F762,TRMFHKO128F426E4C6,1
TRNOHZD128C719668F,TRTMZVE128F92DF6FB,1
TRNOHZD128C719668F,TRMFHKO128F426E4C6,1
TRTMZVE128F92DF6FB,TRMFHKO128F426E4C6,1
TRYCGBR128F428256C,TRWQUEV12903CB3AD3,1
TRYCGBR128F428256C,TRSGOFX128F4267A45,1
TRYCGBR128F428256C,TRHHBEI12903CF8A4A,1
TRWQUEV12903CB3AD3,TRSGOFX128F4267A45,1
TRWQUEV12903CB3AD3,TRHHBEI12903CF8A4A,1
TRSGOFX128F4267A45,TRHHBEI12903CF8A4A,1
TRBQEKU128F428C1B3,TRFLJNQ128F14A8388,1
TRDDAQO128F428E278,TRDCFLD128F1473180,1
TREBUPV128F42594E7,TRAUZER128F427C242,1
TREBUPV128F42594E7,TRREYXV128F93095CE,1
TREBUPV128F42594E7,TREJAIZ128E0791228,1
TRAUZER128F427C242,TRREYXV128F93095CE,1
TRAUZER128F427C242,TREJAIZ128E0791228,1
TRREYXV128F93095CE,TREJAIZ128E0791228,1
TRCRIAZ128F14A53BD,TRKXEGS128F145D25F,1
TRCRIAZ128F14A53BD,TRLJXGF128F427D798,1
TRCRIAZ128F14A53BD,TRXPVSF128F931BEED,1
TRKXEGS128F145D25F,TRLJXGF128F427D798,1
TRKXEGS128F145D25F,TRXPVSF128F931BEED,1
TRLJXGF128F427D798,TRXPVSF128F931BEED,1
TRJDQCE128F14639FB,TRIOPTK128F147F22B,1
TRBKXVN128C7196AFB,TRSGOWH128F9344DB8,1
TROIMFC128F1490D2D,TRCOKEP128F92C7091,1
TROIMFC128F1490D2D,TRNUHKV128F92E138B,1
TRCOKEP128F92C7091,TRNUHKV128F92E138B,1
TRCNYNV128F92F06DC,TRTJEDK128F42AC54D,1
TRTUZJC128F9338FF6,TRELBYN128F1492390,1
TRTUZJC128F9338FF6,TRZBOZT128F425A65E,1
TRTUZJC128F9338FF6,TRGUKPU128F425A04A,1
TRTUZJC128F9338FF6,TRCLJGP128E079273D,1
TRELBYN128F1492390,TRZBOZT128F425A65E,1
TRELBYN128F1492390,TRGUKPU128F425A04A,1
TRELBYN128F1492390,TRCLJGP128E079273D,1
TRZBOZT128F425A65E,TRGUKPU128F425A04A,1
TRZBOZT128F425A65E,TRCLJGP128E079273D,1
TRGUKPU128F425A04A,TRCLJGP128E079273D,1
TRONECC128F423F631,TRAGDSY128F9339015,1
TRONECC128F423F631,TRHWMGV128F92DB31D,1
TRONECC128F423F631,TRTZNQG128F1499624,1
TRONECC128F423F631,TRGPZLK128F4244C41,1
TRONECC128F423F631,TRNELUP128F1481553,1
TRAGDSY128F9339015,TRHWMGV128F92DB31D,1
TRAGDSY128F9339015,TRTZNQG128F1499624,1
TRAGDSY128F9339015,TRGPZLK128F4244C41,1
TRAGDSY128F9339015,TRNELUP128F1481553,1
TRHWMGV128F92DB31D,TRTZNQG128F1499624,1
TRHWMGV128F92DB31D,TRGPZLK128F4244C41,1
TRHWMGV128F92DB31D,TRNELUP128F1481553,1
TRTZNQG128F1499624,TRGPZLK128F4244C41,1
TRTZNQG128F1499624,TRNELUP128F1481553,1
TRGPZLK128F4244C41,TRNELUP128F1481553,1
TREQPOP12903CBD241,TRMBXMA128F92FBC29,1
TRLNTHS128F92F0EF5,TRPBXYD128F93054E8,1
TRLNTHS128F92F0EF5,TRWKZAK128F1495D8B,1
TRPBXYD128F93054E8,TRWKZAK128F1495D8B,1
TRJBKRC128F92F81DB,TRWSMOY128E078E684,1
TRJBKRC128F92F81DB,TRSXUUM128F4288C90,1
TRWSMOY128E078E684,TRSXUUM128F4288C90,1
TRJXZDM128F42596CA,TRQTINO128F427323E,1
TRBIREV128EF34458E,TRGHPFK128F4231630,1
TREEXXZ128F422B94B,TRCFOUA128E07842AC,1
TREEXXZ128F422B94B,TRAXUYH128F4236A4A,1
TREEXXZ128F422B94B,TRJYWMK128F935A628,1
TREEXXZ128F422B94B,TRIFQSR128F423EC90,1
TRCFOUA128E07842AC,TRAXUYH128F4236A4A,1
TRCFOUA128E07842AC,TRJYWMK128F935A628,1
TRCFOUA128E07842AC,TRIFQSR128F423EC90,1
TRAXUYH128F4236A4A,TRJYWMK128F935A628,1
TRAXUYH128F4236A4A,TRIFQSR128F423EC90,1
TRJYWMK128F935A628,TRIFQSR128F423EC90,1
TRAOYLB128E0784C47,TRRQFCW128F92E0F59,1
TRAOYLB128E0784C47,TRRQGWG12903D06C3F,1
TRAOYLB128E0784C47,TREAOEF128F423AAFE,1
TRAOYLB128E0784C47,TRYTUPL128F933D611,1
TRRQFCW128F92E0F59,TRRQGWG12903D06C3F,1
TRRQFCW128F92E0F59,TREAOEF128F423AAFE,1
TRRQFCW128F92E0F59,TRYTUPL128F933D611,1
TRRQGWG12903D06C3F,TREAOEF128F423AAFE,1
TRRQGWG12903D06C3F,TRYTUPL128F933D611,1
TREAOEF128F423AAFE,TRYTUPL128F933D611,1
TRFUNRS128F9346BF4,TRDNSDP128F93426C9,1
TRFZRLC128F427D5C4,TRUJLOV128F423F56A,1
TRFZRLC128F427D5C4,TRSJZUQ128F1477DFA,1
TRFZRLC128F427D5C4,TRKDPUK128F1477B98,1
TRUJLOV128F423F56A,TRSJZUQ128F1477DFA,1
TRUJLOV128F423F56A,TRKDPUK128F1477B98,1
TRSJZUQ128F1477DFA,TRKDPUK128F1477B98,1
TRDDCFC128F42684BD,TRIHGGC128F425E065,1
TRFDBUS128F4271916,TRNSSDQ128F42BAF2F,1
TRFDBUS128F4271916,TRNKERK128F9300ACB,1
TRFDBUS128F4271916,TRFMJLM12903CAF4FB,1
TRFDBUS128F4271916,TRQXJHX128F92F146B,1
TRFDBUS128F4271916,TRPHYQU128F93226FE,1
TRFDBUS128F4271916,TRWMLJL128F4228920,1
TRFDBUS128F4271916,TRFZCHF128F92EF59C,1
TRFDBUS128F4271916,TRYFMYN128F426708C,1
TRNSSDQ128F42BAF2F,TRNKERK128F9300ACB,1
TRNSSDQ128F42BAF2F,TRFMJLM12903CAF4FB,1
TRNSSDQ128F42BAF2F,TRQXJHX128F92F146B,1
TRNSSDQ128F42BAF2F,TRPHYQU128F93226FE,1
TRNSSDQ128F42BAF2F,TRWMLJL128F4228920,1
TRNSSDQ128F42BAF2F,TRFZCHF128F92EF59C,1
TRNSSDQ128F42BAF2F,TRYFMYN128F426708C,1
TRNKERK128F9300ACB,TRFMJLM12903CAF4FB,1
TRNKERK128F9300ACB,TRQXJHX128F92F146B,1
TRNKERK128F9300ACB,TRPHYQU128F93226FE,1
TRNKERK128F9300ACB,TRWMLJL128F4228920,1
TRNKERK128F9300ACB,TRFZCHF128F92EF59C,1
TRNKERK128F9300ACB,TRYFMYN128F426708C,1
TRFMJLM12903CAF4FB,TRQXJHX128F92F146B,1
TRFMJLM12903CAF4FB,TRPHYQU128F93226FE,1
TRFMJLM12903CAF4FB,TRWMLJL128F4228920,1
TRFMJLM12903CAF4FB,TRFZCHF128F92EF59C,1
TRFMJLM12903CAF4FB,TRYFMYN128F426708C,1
TRQXJHX128F92F146B,TRPHYQU128F93226FE,1
TRQXJHX128F92F146B,TRWMLJL128F4228920,1
TRQXJHX128F92F146B,TRFZCHF128F92EF59C,1
TRQXJHX128F92F146B,TRYFMYN128F426708C,1
TRPHYQU128F93226FE,TRWMLJL128F4228920,1
TRPHYQU128F93226FE,TRFZCHF128F92EF59C,1
TRPHYQU128F93226FE,TRYFMYN128F426708C,1
TRWMLJL128F4228920,TRFZCHF128F92EF59C,1
TRWMLJL128F4228920,TRYFMYN128F426708C,1
TRFZCHF128F92EF59C,TRYFMYN128F426708C,1
TRKFUHZ128F425BADD,TRFYGQY128F426A3DC,1
TRKFUHZ128F425BADD,TRLNKJZ12903CDAEC3,1
TRFYGQY128F426A3DC,TRLNKJZ12903CDAEC3,1
TRNUOIL128EF349911,TRQDOVO12903CD45E5,1
TRLSPJD128F92FA9CD,TRLFFKS12903CDCE67,1
TRLSPJD128F92FA9CD,TRBDGTT128F1496F72,1
TRLFFKS12903CDCE67,TRBDGTT128F1496F72,1
TRFGJFD128F4269C4D,TRETBWD12903CD7357,1
TRFGJFD128F4269C4D,TRVTMLQ128F93279A5,1
TRETBWD12903CD7357,TRVTMLQ128F93279A5,1
TRKLIEL128E079178C,TRZWVNF128F14993AF,1
TRFZTWP128F933874C,TRUUBCR12903CCE652,1
TRSICTG128F92D4679,TRJPQSO128F422B182,1
TRKWDGP128F934DC10,TRUUDDE128F92EFB7C,1
TRKWDGP128F934DC10,TRGAVHA12903CE926D,1
TRUUDDE128F92EFB7C,TRGAVHA12903CE926D,1
TRLCQRI128F92F5EE4,TRJUTXV128F42A2951,1
TRLCQRI128F92F5EE4,TRKCVAS128F92F19B6,1
TRJUTXV128F42A2951,TRKCVAS128F92F19B6,1
TRIWEER128F934D343,TRSUTVL12903D097B2,1
TRCCGSP12903CDC426,TRNSTHZ128F149EBAC,1
TRRLMBH128F146F74A,TRJAKSW128F935A651,1
TRDAWNO12903C9C71F,TRCTRLX128F93073E4,1
TRORHCN128E0785FA5,TRQZLRA128F1484CFB,1
TRORHCN128E0785FA5,TRTWBKF12903CD96B6,1
TRORHCN128E0785FA5,TRLCZNQ128F145BB64,1
TRORHCN128E0785FA5,TRZJQVL128F92F0834,1
TRORHCN128E0785FA5,TRVPEPD128F931D608,1
TRORHCN128E0785FA5,TRHWDDB12903CEB791,1
TRQZLRA128F1484CFB,TRTWBKF12903CD96B6,1
TRQZLRA128F1484CFB,TRLCZNQ128F145BB64,1
TRQZLRA128F1484CFB,TRZJQVL128F92F0834,1
TRQZLRA128F1484CFB,TRVPEPD128F931D608,1
TRQZLRA128F1484CFB,TRHWDDB12903CEB791,1
TRTWBKF12903CD96B6,TRLCZNQ128F145BB64,1
TRTWBKF12903CD96B6,TRZJQVL128F92F0834,1
TRTWBKF12903CD96B6,TRVPEPD128F931D608,1
TRTWBKF12903CD96B6,TRHWDDB12903CEB791,1
TRLCZNQ128F145BB64,TRZJQVL128F92F0834,1
TRLCZNQ128F145BB64,TRVPEPD128F931D608,1
TRLCZNQ128F145BB64,TRHWDDB12903CEB791,1
TRZJQVL128F92F0834,TRVPEPD128F931D608,1
TRZJQVL128F92F0834,TRHWDDB12903CEB791,1
TRVPEPD128F931D608,TRHWDDB12903CEB791,1
TRWYGUN128F4294892,TRAZZJD128F92F36CE,1
TRWYGUN128F4294892,TRFWDCI128E0791BE1,1
TRWYGUN128F4294892,TRWYZXB128F145D7FA,1
TRAZZJD128F92F36CE,TRFWDCI128E0791BE1,1
TRAZZJD128F92F36CE,TRWYZXB128F145D7FA,1
TRFWDCI128E0791BE1,TRWYZXB128F145D7FA,1
TRIASFH128F9330A84,TRXJOSO12903CCA837,1
TRCAMQK128F1485B01,TRHCGWR128F9324534,1
TRCAMQK128F1485B01,TRTRSMY128F1466FFA,1
TRCAMQK128F1485B01,TRBLXAV128F92C2AD9,1
TRCAMQK128F1485B01,TRMMCZF128F9339016,1
TRCAMQK128F1485B01,TRIOFRQ128F427E0F1,1
TRCAMQK128F1485B01,TRHAZEF12903CCB953,1
TRCAMQK128F1485B01,TROBDGE128F147128E,1
TRCAMQK128F1485B01,TRIZUPE128F4291EBD,1
TRCAMQK128F1485B01,TRIMFJB128F4255E0E,1
